Longitude,Latitude,Utilities,Construction,Manufacturing,Transportation and warehousing,Educational services,Health care and social assistance,Accommodation and food services,Other services except public administration,Public administration,"Agriculture forestry fishing hunting, Mining quarrying and oil and gas extraction",Wholesale trade Retail trade,"Finance and insurance, real estate and rental and leasing",Professional scientific and technical services,Information culture and recreation,Population,Mean Max Temp (°C),Mean Min Temp (°C),Mean Temp (°C),Extr Max Temp (°C),Extr Min Temp (°C),Total Rain (mm),Total Snow (cm),Total Precip (mm),Snow Grnd Last Day (cm),Dir of Max Gust (10s deg),Spd of Max Gust (km/h),provincename,Region.Name,GeoUID,Station Name,Climate ID
-102.1369436997319,49.10761394101876,21.68810797409769,70.61523127099491,137.1839615339381,52.5221780251072,62.8014188221027,81.09777011432605,27.38701446111435,23.360060608713283,128.65048306830874,136.63318735551607,95.89147866519696,159.46417939581403,87.318118041781,36.52832645098436,32749.686648501363,-2.7646112600536195,-9.545844504021447,-6.161394101876675,6.414209115281501,-22.103217158176943,64.35013404825737,30.95120643431635,104.21581769436997,16.050938337801608,0.4906166219839142,1.3002680965147453,British Columbia,Greater Vancouver A (RDA),5915020,ENTRANCE ISLAND,709CEE9
-102.1369436997319,49.10761394101876,21.738264409230684,70.43682914470142,137.82801569624468,52.48686345448253,63.609102667533925,81.55004689560462,27.81108606588094,23.148494038532988,132.92781600796195,134.8216981594089,98.3036160936382,158.18126914572943,88.35659922643707,35.62248407675162,32749.686648501363,2.7273458445040215,-4.422520107238606,-0.8584450402144772,7.838605898123325,-12.692761394101876,45.50187667560322,9.07426273458445,59.73592493297587,14.227882037533512,0.3646112600536193,1.032171581769437,British Columbia,Greater Vancouver A (RDA),5915020,ENTRANCE ISLAND,709CEE9
-102.1369436997319,49.10761394101876,22.188931262137594,69.49825990664627,138.07473919746113,52.42295310002152,61.305106479420644,81.62841771777586,27.125675631013856,23.23961400195356,132.39584328201101,133.52282185874142,98.01179848329315,158.6523079092414,88.51678755624434,36.94482405324245,32749.686648501363,4.007238605898124,-3.785522788203753,0.12627345844504023,13.549865951742628,-13.800536193029492,44.33833780160858,17.075335120643434,66.31447721179624,5.1796246648793565,0.32171581769436997,1.2171581769436997,British Columbia,Greater Vancouver A (RDA),5915020,ENTRANCE ISLAND,709CEE9
-102.1972,49.138079999999995,21.71561676810457,69.11124923752313,137.73381298710757,51.810442115983214,64.35080449911695,82.04580806298708,26.787752439917526,23.391010995438876,132.6480723814087,131.68353241209303,99.4184730736711,158.4104555325127,88.59145700641075,36.318077221298296,32604.9864498645,12.032533333333333,0.9069333333333334,6.484800000000001,21.363733333333332,-4.131466666666666,35.983466666666665,2.7567999999999997,41.32533333333333,0.14133333333333334,0.376,1.2613333333333334,British Columbia,Greater Vancouver A (RDA),5915020,ENTRANCE ISLAND,709CEE9
-102.25313829787234,49.13617021276596,21.985293525652033,68.91256716475571,137.6305682314678,51.79563281189855,63.47504680003662,81.12238570366883,27.11022492972872,23.364598918499674,132.35569500431592,130.02972543983736,99.09616229306977,159.20393598020576,88.92243334578404,36.67572933756562,32529.486486486487,18.2031914893617,6.558510638297872,12.3875,25.15744680851064,0.5441489361702128,48.104787234042554,0.022606382978723406,53.49361702127659,0.0,0.48404255319148937,1.4095744680851063,British Columbia,Greater Vancouver A (RDA),5915020,ENTRANCE ISLAND,709CEE9
-102.26185676392573,49.139336870026526,22.154641039251132,68.94741622742329,136.2729492017667,50.341336680613765,63.638417259838974,81.31061716187672,27.178545823797705,23.56114342261602,132.16187092420444,130.37226179059084,98.4734557863265,159.60062888747706,89.17681412138718,36.87654611594853,32444.940700808624,19.20185676392573,9.33076923076923,14.256498673740053,25.944827586206898,2.863925729442971,83.04297082228116,0.13023872679045093,87.62334217506631,0.0,0.48010610079575594,1.2175066312997347,British Columbia,Greater Vancouver A (RDA),5915020,ENTRANCE ISLAND,709CEE9
-102.27830687830686,49.16693121693121,21.825398034344268,68.62095617469875,133.670853831724,50.10601658013132,63.49664545079429,80.7731876907336,27.669422400365097,23.44245594637593,131.8188107647991,127.05998915115076,98.10435165906914,158.4427653465857,89.67765038883039,37.05259705609792,32360.720430107525,22.735978835978838,11.927513227513229,17.345502645502645,29.260846560846563,7.15978835978836,66.38518518518518,0.0,71.16402116402116,0.0,0.5396825396825397,1.3571428571428572,British Columbia,Greater Vancouver A (RDA),5915020,ENTRANCE ISLAND,709CEE9
-102.27830687830686,49.16693121693121,23.190972366586692,67.79986195647999,136.60814143194634,51.36298251330216,62.32589848054523,81.25388546062182,27.920401586611412,23.78767305331487,131.79849377181628,128.79463202997837,97.79274900711731,160.55877349594027,90.54429625020613,37.47547876978661,32360.720430107525,21.759788359788363,10.315608465608467,15.965873015873017,27.33148148148148,5.423015873015873,45.99656084656085,0.0,48.52513227513227,0.0,0.5132275132275133,1.0634920634920635,British Columbia,Greater Vancouver A (RDA),5915020,ENTRANCE ISLAND,709CEE9
-102.26957559681696,49.16384615384616,22.067201405675597,67.2692776622258,138.9478018689418,50.484702112262596,62.71447639270586,82.31418210655198,28.129305872355765,23.667695459590856,132.7855559429062,128.40660996104106,99.54400066103561,160.74595335933552,91.56069204736924,37.46219539178045,32444.811320754718,17.728381962864724,7.151724137931034,12.424137931034481,24.516445623342175,1.3726790450928381,43.736870026525196,0.0,46.319098143236076,0.0,0.4907161803713528,1.1087533156498675,British Columbia,Greater Vancouver A (RDA),5915020,ENTRANCE ISLAND,709CEE9
-102.26957559681696,49.16384615384616,22.681830694495144,67.19628155183844,139.9640073191831,52.325995698181096,64.11724870826994,82.3414421726386,27.66985356856012,23.68009460651119,133.3762480971277,128.4830976242067,99.05843286057822,162.11528556342256,92.05580312843634,37.59991385517517,32444.811320754718,10.649071618037135,2.8432360742705574,6.768435013262599,17.871883289124668,-2.625464190981432,69.7103448275862,2.5289124668435012,80.28806366047745,0.015915119363395226,0.4323607427055703,1.2785145888594165,British Columbia,Greater Vancouver A (RDA),5915020,ENTRANCE ISLAND,709CEE9
